feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper,abs_t
COMPANY_NAME_ohe_265,-13374.99787742116,5959.445833854718,-2.244335841000484,0.024810801163108298,-25055.51171177641,-1694.4840430659115,2.244335841000484
COMPANY_NAME_ohe_243,-11742.825514969258,5232.791276129207,-2.244084446581566,0.024826968487122736,-21999.096416182503,-1486.5546137560123,2.244084446581566
COMPANY_NAME_ohe_162,-11030.434104686356,4926.848513468341,-2.238841741233341,0.025166215260370883,-20687.057191084303,-1373.8110182884084,2.238841741233341
COMPANY_NAME_ohe_102,-3798.9578539927193,1697.26827659739,-2.2382777704469357,0.025202946817882488,-7125.603676123604,-472.31203186183484,2.2382777704469357
COMPANY_NAME_ohe_788,-22097.104675927858,9889.331587112314,-2.2344386454514886,0.02545422530671826,-41480.19458666799,-2714.0147651877232,2.2344386454514886
COMPANY_NAME_ohe_647,-13171.811932181816,5901.598480788218,-2.231905809088962,0.025621188879314083,-24738.94495452672,-1604.67890983691,2.231905809088962
COMPANY_NAME_ohe_398,-3078.473077710891,1379.6317390395448,-2.231373047313354,0.0256564286678318,-5782.5512862283995,-374.39486919338333,2.231373047313354
COMPANY_NAME_ohe_357,-8524.711535923363,3825.819057857754,-2.2282056226403784,0.025866806307364376,-16023.31688932456,-1026.106182522165,2.2282056226403784
COMPANY_NAME_ohe_813,-6962.888768044637,3125.7857810959795,-2.2275642848446484,0.02590958453753256,-13089.428898992755,-836.3486370965175,2.2275642848446484
COMPANY_NAME_ohe_469,-12378.729587443384,5557.492447137616,-2.2273947657489024,0.025920901941489438,-23271.414783833112,-1486.044391053656,2.2273947657489024
COMPANY_NAME_ohe_177,-5830.91415074986,2620.3602292336523,-2.225233800184474,0.02606554690252838,-10966.820200047818,-695.0081014519019,2.225233800184474
COMPANY_NAME_ohe_548,-11975.690611124002,5384.899342145077,-2.22393954839525,0.02615251175352351,-22530.093321728353,-1421.2879005196519,2.22393954839525
COMPANY_NAME_ohe_258,-7338.987142499728,3315.969922528794,-2.213224882601751,0.026882145435003224,-13838.288190656163,-839.6860943432921,2.213224882601751
COMPANY_NAME_ohe_226,1705.323910015776,770.8334347560879,2.21231180839397,0.02694512775573088,194.49037789384374,3216.157442137708,2.21231180839397
COMPANY_NAME_ohe_728,-4230.231787422825,1916.2379754160793,-2.2075712107230836,0.02727417786399844,-7986.05821923834,-474.4053556073095,2.2075712107230836
